Zip,Median,Mean,Pop
39358,33,54,3
79848,71,83,2
83127,91,95,5
84534,258,342,16
32531,332,413,40
54470,323,432,16
79356,316,439,60
62433,346,480,10
79529,331,483,14
81641,451,505,35
67838,519,612,9
79843,447,632,42
2568,516,691,31
6752,450,693,8
3256,585,695,16
49309,551,729,31
76055,587,745,38
15870,744,820,23
48897,754,827,21
79528,846,961,10
13740,841,1022,10
48891,893,1104,78
38337,910,1241,29
35470,864,1253,216
27305,1018,1296,33
84063,1038,1347,6
79248,991,1451,24
49884,1079,1487,28
29046,1186,1493,10
10464,1520,1673,109
98621,1452,1763,9
13459,1575,1767,68
28310,1799,1785,237
59038,1378,1814,31
3226,1341,1856,30
36425,1443,1898,67
38472,1432,1991,102
13424,1810,2045,75
56715,1725,2101,17
99347,1958,2540,100
14884,2156,2632,13
89835,2161,2765,112
76070,2297,2851,24
14822,2558,2939,67
49753,2460,2966,117
22435,2493,3016,131
29001,2265,3034,149
83112,2904,3042,34
38952,1917,3129,219
62413,2676,3217,24
48877,2643,3233,129
81020,2739,3233,51
29810,2573,3329,374
43341,2638,3386,51
27855,3221,3534,423
99519,3238,3552,65
21659,3178,3684,89
71260,2921,3829,218
47616,3766,3974,26
95485,3515,4042,287
49644,3484,4144,184
40387,1855,4183,124
4945,3738,4226,119
95971,3363,4521,470
49650,3608,4607,182
49625,3860,4640,120
16341,3922,4724,219
27888,3145,4743,214
71465,3479,4751,299
97368,3356,5147,320
13437,4376,5194,54
6269,6124,5229,9844
49683,4676,5274,180
13825,4225,5291,326
32465,4481,5377,895
27826,4046,5398,100
94964,4241,5520,240
49873,4466,5524,11
81136,4114,5530,39
20198,2933,5556,105
49729,4714,5558,167
13788,5062,5648,92
31634,3886,5676,1030
29836,4183,5845,55
68178,2499,6070,1389
64153,4940,6236,324
12015,4810,6418,277
99139,4323,6638,124
32052,4558,6681,1087
47306,6750,6806,6189
47612,6543,6973,95
98376,5568,6980,182
31012,5906,6993,419
13441,6191,7138,4
32322,6061,7202,576
41171,3494,7292,1014
53706,6359,7295,1983
50012,6904,7460,324
56748,6766,7539,81
35460,5863,7550,215
54763,6438,7611,152
13796,6373,7698,165
1339,6531,7755,181
47928,6264,7776,263
64724,6712,7910,311
95303,4324,7988,71
32564,6816,8106,449
47633,7424,8114,322
29009,6487,8240,456
30734,7253,8375,600
23824,6421,8531,1144
27919,6222,8666,188
49665,6639,8734,828
64763,6672,8869,323
56159,7463,8887,593
14435,7801,9056,380
72168,58223,9204,1834
14779,7393,9544,1297
76433,7728,9552,216
48761,7861,9590,294
54736,7688,9609,704
12740,7836,9622,302
19474,8049,9875,53
45732,8884,10094,1173
43332,8447,10310,382
30460,5816,10401,427
7420,8909,10406,515
97016,9196,10723,1210
36753,9705,10885,22
48766,9040,11009,357
84512,10122,11582,258
49663,10208,12013,1414
30602,10625,12035,2409
30609,10625,12035,1956
49055,10266,12092,1216
13327,10248,12106,495
21649,11679,12133,304
21640,11191,12232,258
8349,11127,12422,618
77435,8537,12587,993
61570,10741,12621,392
44101,9646,12721,577
78712,8321,12821,860
43210,9147,12872,9728
22567,9956,12930,521
49229,12062,13013,622
79501,11530,13015,879
39338,9877,13028,920
49446,10594,13224,548
21555,9573,13279,480
29593,10570,13296,613
37916,7530,13347,12507
95345,10341,13717,152
56742,13013,13942,209
15260,15156,13989,3
21252,11091,14019,3230
23868,11522,14081,2498
31630,10387,14086,167
47405,8994,14151,4427
5905,11885,14157,264
49026,11725,14217,655
49452,11807,14221,538
76599,52693,14298,1956
29940,11805,14336,1401
70532,11829,14366,798
29436,13759,14852,1298
73503,12030,14876,4021
49411,12137,14958,425
13450,12308,15045,32
32083,13854,15082,1342
48765,11783,15279,248
53924,13315,15335,359
77445,11898,15380,3137
23837,12270,15398,1305
13320,12567,15408,550
15438,14341,15531,804
49874,12771,15581,392
79901,12338,16078,11328
14783,14351,16110,114
85263,9933,16335,157
16061,13604,16384,708
87901,12030,16691,4179
21869,13176,16753,317
23950,13639,16770,1107
88003,9448,16913,823
50459,12438,16975,636
48654,12576,16983,869
84039,13361,17053,247
49305,12901,17103,731
17887,15197,17284,350
21250,11964,17363,2409
98601,13740,17537,640
59010,13329,17541,47
23890,15805,17673,1432
48656,13282,17772,2561
71479,13116,17784,274
76043,10387,17965,1760
54562,14946,17970,652
49645,14118,18031,492
31207,9300,18340,974
37915,11160,18409,5647
93924,12743,18827,917
13144,16585,18921,541
37213,10577,18933,218
49836,15885,19109,455
39328,14522,19161,2333
52801,13088,19201,1122
41390,16127,19530,52
43403,12727,19537,5708
95202,11516,19668,4212
35459,15441,19882,592
44115,13316,19898,7434
32612,15999,20146,5458
93721,14943,20193,4099
32304,14507,20404,36661
75210,14355,20457,7482
49747,16264,20531,831
44503,11713,20553,999
48109,21223,20592,5749
43046,18126,20623,1010
53715,16488,20643,8116
48460,16784,20809,855
49455,16849,20818,2038
47406,15451,20894,4730
6702,13814,21066,3654
16501,13886,21233,2919
37402,14060,21351,3917
37352,13215,21399,1128
38126,12882,21492,7334
49410,17224,21618,948
43604,14028,21627,10700
48607,16167,21636,2561
36616,19121,21714,27
23829,15739,21841,1227
37132,7125,21863,2776
19133,13764,21890,27804
49862,16396,21941,2045
49886,18023,21988,233
70757,17362,22136,1278
28768,16185,22159,2526
39217,17252,22182,330
35233,12468,22194,1308
29590,15549,22212,2437
24078,14775,22329,3661
44510,16583,22376,3073
40506,20768,22503,2802
39347,15124,22527,825
62478,18482,22607,145
18701,15888,22623,3665
49073,20254,22662,1717
18503,19976,22689,1164
22542,17482,22703,564
44506,14562,22719,3758
92233,16479,22742,3802
32202,12082,22756,7915
23856,18403,22793,563
21202,15615,22798,14160
86535,16250,22832,1199
77446,17680,22850,2026
98068,20135,22872,79
40322,18602,23054,1817
29010,16300,23093,8210
40460,16607,23136,1129
55454,15195,23158,7565
13202,14319,23181,5360
95646,21516,23215,61
28740,21064,23253,778
53295,16049,23275,359
79830,15703,23282,3487
93280,18916,23420,14134
40445,16874,23442,997
68508,16578,23550,13175
29117,16587,23605,1160
44702,13377,23631,1164
62059,17460,23634,746
54490,19541,23778,366
49759,20998,23809,1015
12944,18527,23834,1951
44104,16546,23898,28297
37410,15245,24018,3886
39169,17601,24040,3726
30912,15438,24078,296
47809,15188,24260,2687
36471,19773,24308,1029
75962,18056,24380,3029
80840,22043,24417,2196
39406,17313,24438,3783
78592,17576,24464,836
76518,20289,24470,580
78829,22793,24542,1207
89823,22589,24632,56
36720,23419,24688,784
36723,23419,24688,230
54201,21167,24692,2183
87357,13857,24699,597
45225,18117,24781,13556
48208,17400,24834,13074
85034,14595,24862,4193
97204,13283,24949,1319
14901,18754,24989,11764
66045,15821,25014,2023
6120,17588,25025,9668
7114,14570,25040,8903
76704,17807,25127,8007
44308,13016,25180,1264
13617,23377,25222,4743
24850,20083,25228,1093
24873,20083,25228,600
72467,15846,25316,303
54772,22263,25338,517
71019,16312,25342,4693
44311,16969,25396,10424
71103,18892,25412,7813
49920,21045,25486,2655
44127,19168,25494,9040
95325,18961,25514,32
43756,21660,25555,3461
76908,23258,25573,1951
78361,27532,25610,3087
63106,16563,25620,11883
1103,16963,25747,2731
93212,18761,25764,13961
16802,21634,25787,12004
40913,20258,25787,171
79905,18245,25810,26036
41348,17236,25840,1219
24817,19936,25893,954
66612,18788,25921,2477
40203,16629,25932,19694
48889,20937,25959,596
48801,20776,25974,6645
28547,22583,25981,10195
7505,18597,25986,3892
54664,22057,26021,683
6418,21949,26093,6193
78208,21809,26147,3736
38105,17685,26214,6184
38505,18257,26291,1806
70760,16867,26318,2734
30439,22930,26330,5786
62204,20227,26371,7960
62207,17934,26377,8750
37730,19770,26401,59
37851,19770,26401,36
46601,16346,26420,6090
78705,14590,26432,31340
43029,23123,26444,188
93624,20674,26447,1036
48201,14177,26514,14903
35401,17806,26527,39878
38945,14595,26564,82
90089,12076,26564,3217
27944,20213,26574,5338
25703,18932,26575,6751
23847,19657,26646,9576
86011,21624,26648,6362
23920,21933,26663,2131
24879,19762,26676,657
42634,19097,26880,1565
36610,18713,26901,13209
53233,21228,26921,16453
70803,20704,26974,1335
29835,20037,27016,4702
40843,23229,27016,259
40849,23229,27016,352
40927,23229,27016,482
23891,24431,27017,1276
24811,19672,27083,599
24813,19672,27083,511
47305,19295,27083,4106
30817,22873,27093,4360
28705,22472,27114,4657
14605,18461,27138,14505
79601,22145,27140,14847
65806,19169,27142,10586
1105,17756,27144,12816
14604,11709,27226,1665
14614,11709,27226,915
81003,18648,27286,11005
47807,19886,27296,13045
38764,17829,27313,597
72114,18416,27314,12658
56623,17162,27320,1262
38924,18632,27327,1036
62523,21452,27334,1237
41317,17500,27339,190
48505,21293,27368,33181
36773,21233,27403,512
79401,21209,27477,8408
74078,22579,27492,1146
14560,20187,27496,931
38625,23052,27505,679
21853,21889,27519,4082
44507,20098,27543,9154
92401,18656,27560,1932
71101,20627,27643,8197
86538,18450,27700,2338
86540,18639,27703,1088
44304,20125,27712,5917
49440,19228,27758,711
41631,19506,27799,1106
41660,19506,27799,802
36767,17377,27800,2012
86520,19387,27882,1793
15901,20686,27975,5427
57772,18916,28006,2048
44502,22820,28021,11984
13493,23572,28030,1105
32064,22625,28039,3853
39348,18868,28062,564
18101,20527,28070,3872
38746,17118,28095,970
81226,19808,28102,5981
65215,19917,28170,203
15233,18602,28187,3065
40921,17898,28190,295
40995,17898,28190,121
38740,16864,28197,656
38774,16917,28239,3355
24892,19796,28248,1513
37715,21701,28255,1000
10454,18024,28294,30078
62914,19572,28310,3147
40972,17815,28353,1327
42261,23204,28371,7567
78830,20324,28375,786
78836,20324,28375,128
78827,20343,28397,1219
40828,20927,28462,3965
31901,19531,28471,8638
79510,25194,28473,3681
40210,19521,28508,14822
36612,18578,28532,4541
36444,21696,28536,702
77840,18380,28578,56171
57794,20888,28586,644
40902,25110,28616,1239
1840,18507,28624,4350
24878,22324,28636,337
40801,20645,28639,531
40847,20645,28639,261
38726,18526,28677,779
33128,23234,28724,7558
36603,18190,28734,7922
72320,25500,28735,1847
72341,25500,28735,222
46803,24020,28736,9758
60958,25045,28750,2135
30901,18901,28775,16445
92266,22169,28780,234
1610,21388,28805,15545
62701,19357,28862,1152
12207,21287,28874,1985
36761,19583,28908,1161
73117,20730,28953,5257
72311,30865,28985,135
24881,22929,28990,601
30536,20618,29042,4556
40958,25104,29043,451
29207,28066,29055,11570
41366,18714,29055,20
54960,23875,29077,1342
45214,18840,29086,11360
14748,24777,29099,389
45232,19441,29130,6025
32601,20694,29131,18585
32686,22952,29144,2560
57756,22931,29190,1126
38941,21433,29200,5832
78203,23685,29252,6099
38946,21486,29261,402
38958,21486,29261,111
27260,23846,29266,25307
43211,23317,29266,24978
35477,22744,29285,335
79849,26369,29316,13208
79718,16773,29326,721
79780,16773,29326,224
41301,20934,29330,6159
19121,16115,29333,34777
43608,23078,29338,19108
64126,24049,29340,6514
63113,20945,29380,13167
40763,22026,29405,469
40481,21793,29427,218
56118,24793,29434,308
40874,19227,29463,504
34785,21511,29473,11009
64128,22974,29477,11613
38106,21040,29479,27219
62201,23106,29523,7547
78839,20334,29554,8578
14213,19121,29622,23309
16503,23523,29622,17943
38623,23333,29661,283
39203,22355,29695,9162
75140,21601,29717,3882
32066,24177,29736,4148
24243,24226,29750,1402
36524,18113,29758,1232
87045,22069,29768,2046
35464,22486,29785,654
78584,21450,29805,18128
46402,20263,29806,6726
86507,21758,29822,2340
86547,21776,29834,1171
38677,14667,29867,4256
78565,21052,29881,402
78595,21052,29881,6082
38954,20157,29887,1832
86556,21801,29888,2090
86510,21933,29909,5358
57764,24487,29911,1923
89420,21375,29913,31
89422,21375,29913,189
89427,21375,29913,851
24816,24529,29927,151
24843,24529,29927,158
36481,23374,29972,593
44103,21796,30052,25426
32567,25071,30058,2025
41365,20149,30066,501
40816,19605,30113,78
40827,19605,30113,674
40844,19605,30113,123
40858,19605,30113,397
40979,19605,30113,148
90014,13832,30121,7005
87018,20843,30128,610
41547,21861,30162,369
41553,21861,30162,2288
41568,21861,30162,1073
16161,24941,30169,769
51111,23816,30173,94
15110,22042,30176,7307
24141,20430,30213,12536
51101,24052,30222,809
39201,16235,30247,1212
42635,20428,30267,5103
19132,21960,30289,41425
24894,20014,30289,388
66101,25351,30296,13220
48397,22813,30302,149
74106,21081,30320,18218
40988,24598,30323,555
44243,13264,30358,5270
31087,23403,30376,9656
38670,23964,30413,1406
36786,20190,30461,3365
41528,22061,30463,999
42649,20711,30478,2326
79853,22460,30480,3729
29510,22289,30486,8637
29330,24344,30488,6200
62205,22575,30511,9329
7501,23989,30516,33500
31001,25610,30547,4816
24844,22279,30557,1810
78207,22893,30557,55514
75237,26248,30581,17101
70783,24513,30593,1401
37406,24213,30626,14627
57752,19527,30634,2245
10451,22970,30637,37570
24828,25117,30658,927
40982,14975,30697,388
40997,14975,30697,371
78202,21816,30712,11691
71644,20972,30721,4264
40840,19860,30722,312
19140,22411,30728,57613
80106,24567,30754,1521
70444,21503,30763,7242
46407,21667,30774,12656
85006,21620,30779,25742
70420,24813,30782,3071
71254,13034,30793,4032
93234,24305,30793,6987
31903,24295,30794,20128
10456,21955,30837,75975
63851,20199,30841,4225
35234,21854,30848,6311
61104,25720,30876,19269
73108,25482,30913,15181
47638,27873,30916,1423
67214,24284,30917,16542
44704,23761,30924,4883
81126,18355,30945,276
81138,18355,30945,56
81152,18387,30981,1434
78401,16788,31008,5391
30477,23570,31009,3070
36925,21448,31010,3015
86030,27415,31020,1374
85634,25367,31053,6490
44110,24535,31068,26451
39079,21913,31104,1991
72555,26140,31106,182
72567,26140,31106,262
36775,23610,31108,800
48216,20777,31138,6460
42715,26023,31155,347
43201,23203,31176,33130
37869,23293,31178,5031
67857,23154,31217,111
20052,11375,31233,470
29540,23919,31242,3476
33135,22452,31251,36066
28206,24984,31253,12567
41360,21486,31257,500
14608,21868,31271,12934
78594,14962,31271,1990
27601,19814,31283,9924
71643,21799,31293,1109
29037,27363,31303,513
58335,20214,31305,1557
58357,20214,31305,318
26298,20743,31308,96
86039,24565,31324,1467
76104,22756,31352,17446
19122,18175,31399,19653
12160,24429,31410,391
87004,25053,31412,4456
27874,21440,31430,5605
44307,25158,31448,9493
38643,22136,31457,3203
67202,24683,31468,1393
10474,24244,31476,11365
29564,22279,31493,985
41604,21039,31499,620
52401,21151,31506,2017
27897,23757,31511,2240
27869,23764,31518,2485
78040,23686,31525,42083
29624,23796,31534,14610
27110,22331,31546,1141
87323,24147,31549,4806
90021,21084,31557,3951
48502,24790,31562,994
71245,21215,31569,4718
32114,25454,31571,32084
38761,21102,31619,3248
8104,24631,31638,24308
39146,21787,31650,3156
30455,22833,31653,597
31201,21694,31654,8761
86505,24007,31658,7682
48211,24220,31663,10872
75845,23832,31663,2076
98922,25029,31668,2176
78406,25683,31670,1402
37305,22474,31671,889
40508,21482,31689,23569
86508,17646,31694,752
36901,21882,31709,329
55455,16625,31711,1772
35805,24913,31714,22498
86506,18226,31725,1321
37020,28648,31726,2575
14204,18371,31729,9977
40371,25544,31799,2827
37301,22779,31802,1429
38725,20129,31816,1209
